Index,Auto,Heating,Concentration,Batch,Sample,Date,Coefficient of Variation,Heating Block Temperature,Mixed,Rest Time (days),Coupon-to-Bath Wait Time (min),Relative Humidity,Nitrogen (Side from drop),Nitrogen (After blade),Formatted_Parameters,Report
11,TRUE,FALSE,10,6,1,2024-02-28,0.19107853287322593,25,TRUE,1,0,77,0,0,Index: 11; Auto: True; Heating: False; Concentration: 10.0; Heating Block Temperature: 25; Mixed: True; Rest Time (days): 1; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 77; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experiment Parameters (Index: 11)
A polysulfone membrane was synthesized using non-solvent-induced phase separation (NIPS) with the following conditions:

- **Polymer Solution**: 10.0% polysulfone in PolarClean solvent
- **Processing Method**: Fully automated synthesis using robotic system
- **Solution Preparation**: 
  - Automated mixing without heating (ambient temperature of 25??C)
  - Solution rested for 1 day after mixing before casting
- **Casting Conditions**:
  - No wait time between blade casting and NIPS bath immersion (0.0 min)
  - High ambient relative humidity (77%)
  - No nitrogen flow applied at any stage of the process

The experiment was conducted without temperature elevation or humidity control measures, allowing for evaluation of membrane formation under standard automated conditions with immediate phase inversion."
12,TRUE,FALSE,10,6,2,2024-02-29,0.27062480716146176,25,TRUE,2,0,56,0,0,Index: 12; Auto: True; Heating: False; Concentration: 10.0; Heating Block Temperature: 25; Mixed: True; Rest Time (days): 2; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 56; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experiment Parameters
- **Experiment ID**: 12
- **Synthesis Method**: Automated robotic system
- **Polymer Solution**: 10.0% polysulfone in PolarClean solvent
- **Solution Preparation**: 
  - Automatically mixed by robotic system
  - No heating applied (ambient temperature of 25??C)
  - Solution rested for 2 days in sample vial before casting

## Casting Conditions
- **Environmental Conditions**: 56% relative humidity
- **Casting Process**:
  - Automated blade casting
  - Immediate immersion in non-solvent bath (0.0 min wait time)
  - No nitrogen flow applied during any stage of the process

## Notes
The membrane was synthesized using non-solvent-induced phase separation (NIPS) with fully automated solution preparation and casting. The polymer solution was prepared at room temperature and allowed to equilibrate for 48 hours before membrane formation."
13,TRUE,FALSE,10,6,3,2024-03-01,0.2623957178880957,25,TRUE,3,0,55,0,0,Index: 13; Auto: True; Heating: False; Concentration: 10.0; Heating Block Temperature: 25; Mixed: True; Rest Time (days): 3; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 55; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experiment Details (Index: 13)

A polysulfone membrane was synthesized using non-solvent-induced phase separation (NIPS) via an automated robotic system. The polymer solution (10% w/w polysulfone in PolarClean solvent) was prepared using the automated mixing function without heating (ambient temperature of 25??C). After preparation, the solution was allowed to rest for 3 days in a sample vial to ensure complete dissolution and homogeneity.

The membrane casting was performed at 55% relative humidity. The polymer solution was automatically drop-cast onto the substrate and then blade-cast to form a uniform film. No nitrogen gas flow was applied either during the drop-casting or after blade-casting processes. Immediately following blade-casting (0 minutes wait time), the cast film was immersed in the non-solvent bath to initiate phase separation and membrane formation.

This experiment represents one condition in a systematic study of processing parameters affecting membrane morphology and performance in an automated NIPS system."
14,TRUE,TRUE,11.63,7,1,2024-03-20,0.11240058381420505,50,TRUE,0,0,69,0,0,Index: 14; Auto: True; Heating: True; Concentration: 11.63; Heating Block Temperature: 50; Mixed: True; Rest Time (days): 0; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 69; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experimental Parameters
- **Experiment ID**: 14
- **Synthesis Method**: Automated robotic system
- **Polymer Solution**: 11.63% polysulfone in PolarClean solvent
- **Mixing Conditions**: Automated mixing with heating (50??C heating block)
- **Solution Preparation**: Freshly prepared (0 days rest time)
- **Casting Conditions**:
  - Immediate immersion in non-solvent bath (0 min wait time)
  - Ambient relative humidity: 69%
  - No nitrogen flow applied during any stage of the process

## Methodology
The membrane was synthesized using an automated non-solvent-induced phase separation (NIPS) process. The polysulfone solution was prepared at 11.63% concentration and mixed using the robotic system with heating at 50??C. The solution was immediately used for membrane casting without a rest period. After blade casting, the sample was directly immersed into the NIPS bath without any waiting period or nitrogen treatment, despite the relatively high ambient humidity (69%)."
15,TRUE,TRUE,11.63,7,2,2024-03-20,0.23619462350621306,50,TRUE,0,0,69,0,0,Index: 15; Auto: True; Heating: True; Concentration: 11.63; Heating Block Temperature: 50; Mixed: True; Rest Time (days): 0; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 69; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experiment Details
- **Experiment ID:** 15
- **Synthesis Method:** Automated NIPS (Non-solvent-Induced Phase Separation)

## Materials
- **Polymer:** Polysulfone (11.63% concentration)
- **Solvent:** PolarClean

## Procedure
1. The polymer solution was automatically prepared by the robotic system with heating (heating block temperature: 50??C).
2. The solution was mixed by the robot (not premixed manually).
3. The solution was used immediately after preparation (0 days rest time).
4. The solution was drop-cast onto the coupon and then blade-cast.
5. The cast film was immediately immersed in the NIPS bath (0.0 minutes wait time).
6. No nitrogen flow was applied either from the side after drop-casting or after blade-casting.

## Environmental Conditions
- **Relative Humidity:** 69%

This experiment represents fully automated membrane synthesis with heated mixing under relatively high humidity conditions without any nitrogen-based humidity control measures."
16,TRUE,TRUE,11.63,8,1,2024-03-28,0.1941353524854972,50,TRUE,1,0,53,0,0,Index: 16; Auto: True; Heating: True; Concentration: 11.63; Heating Block Temperature: 50; Mixed: True; Rest Time (days): 1; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 53; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experiment #16

A polysulfone membrane was synthesized using an automated non-solvent-induced phase separation (NIPS) process. The polymer solution was prepared at 11.63% concentration of polysulfone in PolarClean solvent. The solution was automatically mixed by the robotic system with heating at 50??C using a heating block. After preparation, the solution was rested in a sample vial for 1 day before casting.

The membrane was cast using the automated system under ambient conditions with a relative humidity of 53%. Immediately after blade casting (0 minutes wait time), the coupon was immersed in the NIPS bath. No nitrogen flow was applied either during the drop-casting phase or after blade casting.

This experiment represents one condition in a systematic study of process parameters affecting membrane formation via the NIPS technique."
17,TRUE,TRUE,17,8,1,2024-03-28,0.008656542,50,FALSE,1,0,53,0,0,Index: 17; Auto: True; Heating: True; Concentration: 17.0; Heating Block Temperature: 50; Mixed: False; Rest Time (days): 1; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 53; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experiment Parameters
- **Experiment ID**: 17
- **Synthesis Method**: Automated NIPS using robotic system
- **Polymer Solution**: 17% polysulfone in PolarClean solvent
- **Solution Preparation**: 
  - Premixed manually (not mixed by robot)
  - Heated during mixing at 50??C
  - Rested for 1 day in sample vial before casting

## Casting Conditions
- **Environmental Conditions**: 53% relative humidity
- **Casting Protocol**: 
  - Drop-cast polymer solution onto coupon
  - Blade-cast to form uniform film
  - Immediate immersion in NIPS bath (0 min wait time)
  - No nitrogen flow applied during any stage of the process

The membrane was successfully synthesized using the automated robotic system with controlled parameters to ensure reproducibility of the phase separation process."
18,TRUE,TRUE,13,9,1,2024-04-04,0.12073477332881302,50,TRUE,1,0,96,0,0,Index: 18; Auto: True; Heating: True; Concentration: 13.0; Heating Block Temperature: 50; Mixed: True; Rest Time (days): 1; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 96; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experiment #18

A polysulfone membrane was synthesized using an automated non-solvent-induced phase separation (NIPS) process. The polymer solution was prepared at 13.0% w/w polysulfone concentration in PolarClean solvent. The solution was mixed using the robotic system with heating at 50??C via heating block. After preparation, the solution was rested in a sample vial for 1 day before processing.

The membrane casting was performed under high humidity conditions (96% RH). The polymer solution was automatically drop-cast onto the substrate and then blade-cast. Immediately following blade casting (0.0 min wait time), the sample was immersed in the NIPS bath. No nitrogen flow was applied either from the side during drop-casting or after blade-casting.

The entire synthesis process was fully automated using the robotic system, demonstrating the capability for reproducible membrane fabrication under controlled conditions."
19,TRUE,TRUE,17,10,1,2024-04-24,0.14477445501649996,50,FALSE,1,0,96,0,0,Index: 19; Auto: True; Heating: True; Concentration: 17.0; Heating Block Temperature: 50; Mixed: False; Rest Time (days): 1; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 96; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experiment Parameters
- **Experiment ID**: 19
- **Synthesis Method**: Automated NIPS using robotic system
- **Polymer Solution**: 17.0% polysulfone in PolarClean solvent
- **Solution Preparation**: 
  - Premixed manually (not mixed by robot)
  - Heated during mixing at 50??C
  - Solution rested for 1 day in sample vial before casting

## Casting Conditions
- **Environmental Conditions**: 96% relative humidity
- **Casting Protocol**: 
  - Drop-cast polymer solution onto coupon
  - Blade casting performed by automated system
  - No nitrogen flow applied during any stage
  - Immediate immersion in non-solvent bath (0 minute wait time)

This experiment evaluated membrane formation under high humidity conditions without nitrogen protection, using a heated, manually premixed polymer solution that was allowed to rest for 24 hours before automated processing."
20,TRUE,FALSE,10,11,1,2024-05-29,0.031080533635303442,25,TRUE,1,0,58,0,0,Index: 20; Auto: True; Heating: False; Concentration: 10.0; Heating Block Temperature: 25; Mixed: True; Rest Time (days): 1; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 58; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experiment #20

A polysulfone membrane was synthesized using non-solvent-induced phase separation (NIPS) via an automated robotic system. The polymer solution (10% w/w polysulfone in PolarClean solvent) was prepared by the robotic system at room temperature (25??C) without additional heating. After preparation, the solution was allowed to rest for 1 day in a sample vial before processing.

The membrane was cast using the automated system under ambient conditions (58% relative humidity). Following blade casting, the sample was immediately immersed in the NIPS bath (0 minute wait time). No nitrogen flow was applied either during the drop-casting stage or after blade casting.

This experiment represents one condition in a systematic study of membrane synthesis parameters using the automated NIPS platform."
21,TRUE,FALSE,12,11,1,2024-05-30,0.030669016,25,TRUE,1,0,49,0,0,Index: 21; Auto: True; Heating: False; Concentration: 12.0; Heating Block Temperature: 25; Mixed: True; Rest Time (days): 1; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 49; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experiment #21

A polysulfone membrane was synthesized using non-solvent-induced phase separation (NIPS) with the following parameters:

The polymer solution was prepared with 12.0% polysulfone concentration in PolarClean solvent. The solution was automatically mixed by the robotic system at room temperature (25??C) without additional heating. After preparation, the solution was rested in a sample vial for 1 day before casting.

The membrane was cast using the automated system. Immediately after blade casting (0.0 min wait time), the sample was immersed in the NIPS bath. The synthesis was conducted at 49% relative humidity without nitrogen gas flow either at the side during drop casting or after blade casting.

This experiment represents one condition in a systematic study of membrane formation parameters using an automated robotic synthesis platform."
22,TRUE,FALSE,14,11,1,2024-05-30,0.010127100525761597,25,TRUE,1,0,49,0,0,Index: 22; Auto: True; Heating: False; Concentration: 14.0; Heating Block Temperature: 25; Mixed: True; Rest Time (days): 1; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 49; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experiment Details
- **Experiment ID**: 22
- **Synthesis Method**: Automated NIPS (Non-solvent-Induced Phase Separation)

## Materials
- **Polymer**: Polysulfone (14.0% concentration)
- **Solvent**: PolarClean

## Procedure
1. The polymer solution was automatically mixed by the robotic system at room temperature (25??C) without heating.
2. The mixed solution was allowed to rest in a sample vial for 1 day.
3. The solution was automatically drop-cast onto the substrate and then blade-cast.
4. The cast film was immediately immersed in the NIPS bath (0.0 min wait time).
5. No nitrogen flow was applied either from the side after drop-casting or after blade-casting.
6. The ambient relative humidity during synthesis was 49%.

This experiment was part of a systematic investigation of processing parameters for membrane synthesis using an automated robotic platform."
23,TRUE,FALSE,16,11,1,2024-05-30,0.011760340051076366,25,TRUE,1,0,49,0,0,Index: 23; Auto: True; Heating: False; Concentration: 16.0; Heating Block Temperature: 25; Mixed: True; Rest Time (days): 1; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 49; Nitrogen (Side from drop): 0; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Experiment Parameters
- **Experiment ID**: 23
- **Synthesis Method**: Automated NIPS (Non-solvent-Induced Phase Separation)
- **Polymer**: Polysulfone at 16.0% concentration
- **Solvent**: PolarClean

## Procedure
1. The polymer solution was automatically mixed by the robotic system at room temperature (25??C) without heating.
2. The mixed solution was allowed to rest in a sample vial for 1 day.
3. The solution was automatically drop-cast onto the substrate and then blade-cast.
4. The cast film was immediately immersed in the NIPS bath (0.0 minutes wait time).
5. The entire process was conducted at 49% relative humidity.
6. No nitrogen flow was applied either during the side-drop process or after blade casting.

This experiment represents one condition in a systematic study of membrane formation parameters using an automated robotic synthesis platform."
24,TRUE,FALSE,10,13,1,2024-07-24,0.16457833235930142,25,TRUE,1,0,80,1,0,Index: 24; Auto: True; Heating: False; Concentration: 10.0; Heating Block Temperature: 25; Mixed: True; Rest Time (days): 1; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 80; Nitrogen (Side from drop): 1; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Methodology
Polysulfone membranes were synthesized via non-solvent-induced phase separation (NIPS) using an automated robotic system. The polymer solution (10% w/w polysulfone in PolarClean solvent) was prepared at room temperature (25??C) without additional heating. The solution was automatically mixed by the robotic system and allowed to rest for 1 day in a sample vial before processing.

## Procedure
The polymer solution was drop-cast onto the substrate coupon with continuous dry nitrogen flow applied from the side to minimize humidity effects. After blade casting, the sample was immediately transferred to the NIPS bath (0 minute wait time) without nitrogen flow during this transfer stage. The experiment was conducted at 80% relative humidity.

## Parameters
- Experiment ID: 24
- Process: Fully automated
- Polymer concentration: 10.0% w/w
- Solution preparation: Robot-mixed at ambient temperature
- Rest period: 1 day
- Coupon-to-bath transfer time: Immediate (0.0 min)
- Environmental conditions: 80% RH
- Humidity control: Nitrogen flow during drop-casting only"
25,TRUE,FALSE,12,13,1,2024-07-24,0.054750273,25,TRUE,1,0,80,1,0,Index: 25; Auto: True; Heating: False; Concentration: 12.0; Heating Block Temperature: 25; Mixed: True; Rest Time (days): 1; Coupon-to-Bath Wait Time (min): 0.0; Relative Humidity: 80; Nitrogen (Side from drop): 1; Nitrogen (After blade): 0,"# Experimental Report: Automated Membrane Synthesis via NIPS

## Methodology
Polysulfone membranes were synthesized using non-solvent-induced phase separation (NIPS) with an automated robotic system. The polymer solution (12.0% w/w polysulfone in PolarClean solvent) was prepared at room temperature (25??C) without additional heating. The solution was automatically mixed by the robotic system and allowed to rest for 1 day in a sample vial before processing.

## Procedure
The polymer solution was drop-cast onto the substrate coupon with continuous dry nitrogen flow applied from the side to minimize humidity effects. After drop-casting, the solution was blade-cast without nitrogen flow. The cast film was immediately transferred to the NIPS bath (0.0 min wait time) for phase inversion. The ambient relative humidity during synthesis was 80%.

## Experimental Parameters
- Experiment ID: 25
- Process: Fully automated
- Polymer concentration: 12.0% w/w
- Solution preparation: Robot-mixed at room temperature
- Rest period: 1 day
- Humidity control: Side nitrogen flow during drop-casting only
- Immediate immersion in coagulation bath

This experiment represents one condition in a systematic study of processing parameters for membrane fabrication via NIPS."
