Auto,Heating,Concentration,Batch,Sample,Mixing Height and Lift Adjusted,Heated Container,Heated Block,Heating Block Temperature,Mixed,Rest Time (days),Coupon-to-Bath Wait Time (min),Cast Position Adjusted,Lifting Delay,Date,Relative Humidity,Nitrogen (Side from drop),Nitrogen (After blade),Coefficient of Variation
True,False,14.0,14,1,1,0,0,25,True,1,0.0,1,1,2024-07-26,54,1,0,0.22182625155141475
True,False,16.0,14,1,1,0,0,25,True,1,0.0,1,1,2024-07-26,54,1,0,0.0731661529503707
True,False,17.0,15,1,1,0,0,25,False,0,0.0,1,1,2024-08-26,67,1,0,0.12927306412076361
True,False,17.0,15,2,1,0,0,25,False,0,0.0,1,1,2024-08-26,67,1,0,0.10839704532264167
False,False,17.0,16,1,1,0,0,25,False,0,0.0,1,1,2024-08-30,87,0,0,0.04698837072286153
False,False,17.0,16,2,1,0,0,25,False,0,0.0,1,1,2024-08-30,87,0,0,0.03330699661583099
False,False,10.0,17,1,1,0,0,25,False,0,0.0,1,1,2024-09-06,84,0,0,0.15264924534806543
False,False,10.0,17,2,1,0,0,25,False,0,0.0,1,1,2024-09-06,84,0,0,0.15044917364845417
True,False,17.0,18,1,1,0,0,25,False,0,0.0,1,1,2024-09-09,82,0,0,0.017586781411988994
True,False,17.0,18,2,1,0,0,25,False,0,0.0,1,1,2024-09-09,82,0,0,0.017871398448057702
True,False,17.0,19,1,1,0,0,25,False,0,0.0,1,1,2024-09-11,68,1,0,0.17666576473698284
True,False,17.0,19,2,1,0,0,25,False,0,0.0,1,1,2024-09-11,68,1,0,0.12926783038224957
True,False,17.0,20,1,1,0,0,25,False,0,0.0,1,1,2024-09-11,68,0,0,0.012263572118082341
True,False,17.0,20,2,1,0,0,25,False,0,0.0,1,1,2024-09-11,68,0,0,0.019918058874793046
True,False,10.0,21,1,1,0,0,25,False,0,0.0,1,1,2024-09-13,76,0,0,0.19746185258993565
True,False,10.0,21,2,1,0,0,25,False,0,0.0,1,1,2024-09-13,76,0,0,0.08795439984879734
True,False,17.0,22,1,1,0,0,25,False,0,0.0,1,1,2024-09-17,66,1,0,0.1875389813420076
True,False,12.0,23,1,1,0,0,25,True,0,0.0,1,1,2024-09-19,74,0,0,0.04428786961024285
True,False,12.0,23,2,1,0,0,25,True,0,0.0,1,1,2024-09-19,74,0,0,0.036970658460201054
True,True,12.0,24,1,1,0,1,70,True,0,0.0,1,1,2024-09-20,73,0,0,0.04681735509753817
True,False,17.0,25,1,1,0,0,25,False,0,10.0,1,1,2024-09-23,95,1,0,0.12851642960486237
True,False,17.0,26,1,1,0,0,25,False,0,0.17,1,1,2024-09-26,70,0,1,0.049257327020011316
True,False,17.0,26,2,1,0,0,25,False,0,1.0,1,1,2024-09-26,70,0,1,0.03497288201845227
True,False,17.0,27,1,1,0,0,25,False,0,5.0,1,1,2024-10-16,50,0,0,0.018385095780609352
True,False,17.0,28,1,1,0,0,25,False,0,10.0,1,1,2024-10-22,68,0,0,0.01406404163527084
True,False,17.0,29,1,1,0,0,25,False,0,10.0,1,1,2024-10-23,68,0,1,0.1607517827754513
True,False,17.0,29,2,1,0,0,25,False,0,10.0,1,1,2024-10-23,68,0,1,0.16829749585965295
True,False,17.0,30,1,1,0,0,25,False,0,10.0,1,1,2024-10-24,58,0,1,0.017845263094538374
False,False,10.0,31,1,1,0,0,25,False,0,0.0,1,1,2024-11-13,48,0,0,0.020272541010613314
False,False,12.0,31,1,1,0,0,25,False,0,0.0,1,1,2024-11-13,48,0,0,0.1696256581908739
False,False,15.0,31,1,1,0,0,25,False,0,0.0,1,1,2024-11-13,48,0,0,0.10845322326834796
False,False,17.0,31,1,1,0,0,25,False,0,0.0,1,1,2024-11-13,48,0,0,0.15263196327246895
True,False,10.0,32,1,1,0,0,25,False,0,0.0,1,1,2024-11-14,46,0,0,0.0
True,False,12.0,32,1,1,0,0,25,False,0,0.0,1,1,2024-11-14,46,0,0,0.07533385728981432
True,False,15.0,32,1,1,0,0,25,False,0,0.0,1,1,2024-11-14,46,0,0,0.24885777016582272
True,False,17.0,32,1,1,0,0,25,False,0,5.0,1,1,2024-11-14,46,0,0,0.026574446857930697
True,False,10.0,33,1,1,0,0,25,False,0,0.0,1,1,2024-11-15,50,0,0,0.02465759382411389
True,False,12.0,33,1,1,0,0,25,False,0,0.0,1,1,2024-11-15,50,0,0,0.18749265501334364
True,False,15.0,33,1,1,0,0,25,False,0,0.0,1,1,2024-11-15,50,0,0,0.22850791152566108
True,False,17.0,33,1,1,0,0,25,False,0,0.0,1,1,2024-11-15,50,0,0,0.12462774507319854
True,False,10.0,34,1,1,0,0,25,True,1,0.0,1,1,2024-11-15,50,0,0,0.11092365087747064
True,False,12.0,34,1,1,0,0,25,True,1,0.0,1,1,2024-11-15,50,0,0,0.08821506147071695
True,False,15.0,34,1,1,0,0,25,True,1,0.0,1,1,2024-11-15,50,0,0,0.13787606063066174
True,False,17.0,34,1,1,0,0,25,False,1,0.0,1,1,2024-11-15,50,0,0,0.07465559224269953
False,False,10.0,35,1,1,0,0,25,False,0,0.0,1,1,2024-11-18,50,0,0,0.023204372952698397
False,False,12.0,35,1,1,0,0,25,False,0,0.0,1,1,2024-11-18,50,0,0,0.11758368748820928
False,False,15.0,35,1,1,0,0,25,False,0,0.0,1,1,2024-11-18,50,0,0,0.1900406580192828
False,False,17.0,35,1,1,0,0,25,False,0,0.0,1,1,2024-11-18,50,0,0,0.1392321525726131
True,True,15.0,36,1,1,0,1,80,True,2,0.0,1,1,2024-11-20,58,0,0,0.05246369366326255
True,True,17.0,36,1,1,0,1,80,False,2,0.0,1,1,2024-11-20,58,0,0,0.047234098659093525
True,True,17.0,37,1,1,0,0,25,False,0,0.0,1,1,2024-11-20,58,0,0,0.01412144656353904
